Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,64,1,
Conv2d-2,32,32,1,1,64,64,1,
Conv2d-3,32,32,3,3,64,64,1,
Conv2d-4,32,32,1,1,64,256,1,
Conv2d-5,32,32,1,1,64,256,1,
Conv2d-6,32,32,1,1,256,64,1,
Conv2d-7,32,32,3,3,64,64,1,
Conv2d-8,32,32,1,1,64,256,1,
Conv2d-9,32,32,1,1,256,64,1,
Conv2d-10,32,32,3,3,64,64,1,
Conv2d-11,32,32,1,1,64,256,1,
Conv2d-12,32,32,1,1,256,128,1,
Conv2d-13,32,32,3,3,128,128,2,
Conv2d-14,16,16,1,1,128,512,1,
Conv2d-15,32,32,1,1,256,512,2,
Conv2d-16,16,16,1,1,512,128,1,
Conv2d-17,16,16,3,3,128,128,1,
Conv2d-18,16,16,1,1,128,512,1,
Conv2d-19,16,16,1,1,512,128,1,
Conv2d-20,16,16,3,3,128,128,1,
Conv2d-21,16,16,1,1,128,512,1,
Conv2d-22,16,16,1,1,512,128,1,
Conv2d-23,16,16,3,3,128,128,1,
Conv2d-24,16,16,1,1,128,512,1,
Conv2d-25,16,16,1,1,512,256,1,
Conv2d-26,16,16,3,3,256,256,2,
Conv2d-27,8,8,1,1,256,1024,1,
Conv2d-28,16,16,1,1,512,1024,2,
Conv2d-29,8,8,1,1,1024,256,1,
Conv2d-30,8,8,3,3,256,256,1,
Conv2d-31,8,8,1,1,256,1024,1,
Conv2d-32,8,8,1,1,1024,256,1,
Conv2d-33,8,8,3,3,256,256,1,
Conv2d-34,8,8,1,1,256,1024,1,
Conv2d-35,8,8,1,1,1024,256,1,
Conv2d-36,8,8,3,3,256,256,1,
Conv2d-37,8,8,1,1,256,1024,1,
Conv2d-38,8,8,1,1,1024,256,1,
Conv2d-39,8,8,3,3,256,256,1,
Conv2d-40,8,8,1,1,256,1024,1,
Conv2d-41,8,8,1,1,1024,256,1,
Conv2d-42,8,8,3,3,256,256,1,
Conv2d-43,8,8,1,1,256,1024,1,
Conv2d-44,8,8,1,1,1024,512,1,
Conv2d-45,8,8,3,3,512,512,2,
Conv2d-46,4,4,1,1,512,2048,1,
Conv2d-47,8,8,1,1,1024,2048,2,
Conv2d-48,4,4,1,1,2048,512,1,
Conv2d-49,4,4,3,3,512,512,1,
Conv2d-50,4,4,1,1,512,2048,1,
Conv2d-51,4,4,1,1,2048,512,1,
Conv2d-52,4,4,3,3,512,512,1,
Conv2d-53,4,4,1,1,512,2048,1,
Linear-54,1,1,1,1,2048,10,1,
