Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv2d-1,32,32,3,3,3,64,1,
Conv2d-2,32,32,1,1,64,128,1,
Conv2d-3,32,32,3,3,128,32,1,
Conv2d-4,32,32,1,1,96,128,1,
Conv2d-5,32,32,3,3,128,32,1,
Conv2d-6,32,32,1,1,128,128,1,
Conv2d-7,32,32,3,3,128,32,1,
Conv2d-8,32,32,1,1,160,128,1,
Conv2d-9,32,32,3,3,128,32,1,
Conv2d-10,32,32,1,1,192,128,1,
Conv2d-11,32,32,3,3,128,32,1,
Conv2d-12,32,32,1,1,224,128,1,
Conv2d-13,32,32,3,3,128,32,1,
Conv2d-14,32,32,1,1,256,128,1,
Conv2d-15,16,16,1,1,128,128,1,
Conv2d-16,16,16,3,3,128,32,1,
Conv2d-17,16,16,1,1,160,128,1,
Conv2d-18,16,16,3,3,128,32,1,
Conv2d-19,16,16,1,1,192,128,1,
Conv2d-20,16,16,3,3,128,32,1,
Conv2d-21,16,16,1,1,224,128,1,
Conv2d-22,16,16,3,3,128,32,1,
Conv2d-23,16,16,1,1,256,128,1,
Conv2d-24,16,16,3,3,128,32,1,
Conv2d-25,16,16,1,1,288,128,1,
Conv2d-26,16,16,3,3,128,32,1,
Conv2d-27,16,16,1,1,320,128,1,
Conv2d-28,16,16,3,3,128,32,1,
Conv2d-29,16,16,1,1,352,128,1,
Conv2d-30,16,16,3,3,128,32,1,
Conv2d-31,16,16,1,1,384,128,1,
Conv2d-32,16,16,3,3,128,32,1,
Conv2d-33,16,16,1,1,416,128,1,
Conv2d-34,16,16,3,3,128,32,1,
Conv2d-35,16,16,1,1,448,128,1,
Conv2d-36,16,16,3,3,128,32,1,
Conv2d-37,16,16,1,1,480,128,1,
Conv2d-38,16,16,3,3,128,32,1,
Conv2d-39,16,16,1,1,512,256,1,
Conv2d-40,8,8,1,1,256,128,1,
Conv2d-41,8,8,3,3,128,32,1,
Conv2d-42,8,8,1,1,288,128,1,
Conv2d-43,8,8,3,3,128,32,1,
Conv2d-44,8,8,1,1,320,128,1,
Conv2d-45,8,8,3,3,128,32,1,
Conv2d-46,8,8,1,1,352,128,1,
Conv2d-47,8,8,3,3,128,32,1,
Conv2d-48,8,8,1,1,384,128,1,
Conv2d-49,8,8,3,3,128,32,1,
Conv2d-50,8,8,1,1,416,128,1,
Conv2d-51,8,8,3,3,128,32,1,
Conv2d-52,8,8,1,1,448,128,1,
Conv2d-53,8,8,3,3,128,32,1,
Conv2d-54,8,8,1,1,480,128,1,
Conv2d-55,8,8,3,3,128,32,1,
Conv2d-56,8,8,1,1,512,128,1,
Conv2d-57,8,8,3,3,128,32,1,
Conv2d-58,8,8,1,1,544,128,1,
Conv2d-59,8,8,3,3,128,32,1,
Conv2d-60,8,8,1,1,576,128,1,
Conv2d-61,8,8,3,3,128,32,1,
Conv2d-62,8,8,1,1,608,128,1,
Conv2d-63,8,8,3,3,128,32,1,
Conv2d-64,8,8,1,1,640,128,1,
Conv2d-65,8,8,3,3,128,32,1,
Conv2d-66,8,8,1,1,672,128,1,
Conv2d-67,8,8,3,3,128,32,1,
Conv2d-68,8,8,1,1,704,128,1,
Conv2d-69,8,8,3,3,128,32,1,
Conv2d-70,8,8,1,1,736,128,1,
Conv2d-71,8,8,3,3,128,32,1,
Conv2d-72,8,8,1,1,768,128,1,
Conv2d-73,8,8,3,3,128,32,1,
Conv2d-74,8,8,1,1,800,128,1,
Conv2d-75,8,8,3,3,128,32,1,
Conv2d-76,8,8,1,1,832,128,1,
Conv2d-77,8,8,3,3,128,32,1,
Conv2d-78,8,8,1,1,864,128,1,
Conv2d-79,8,8,3,3,128,32,1,
Conv2d-80,8,8,1,1,896,128,1,
Conv2d-81,8,8,3,3,128,32,1,
Conv2d-82,8,8,1,1,928,128,1,
Conv2d-83,8,8,3,3,128,32,1,
Conv2d-84,8,8,1,1,960,128,1,
